,Open,High,Low,Close,Volume
2024-01-02 00:00:00,1.10423,1.10456,1.10389,1.10412,4521.32
2024-01-02 01:00:00,1.10412,1.10478,1.10401,1.10465,3892.15
2024-01-02 02:00:00,1.10465,1.10512,1.10443,1.10489,3245.78
2024-01-02 03:00:00,1.10489,1.10534,1.10467,1.10521,2876.43
2024-01-02 04:00:00,1.10521,1.10567,1.10498,1.10545,2654.21
2024-01-02 05:00:00,1.10545,1.10589,1.10523,1.10567,2432.56
2024-01-02 06:00:00,1.10567,1.10612,1.10534,1.10598,2789.34
2024-01-02 07:00:00,1.10598,1.10645,1.10576,1.10623,3156.78
2024-01-02 08:00:00,1.10623,1.10689,1.10601,1.10678,4523.45
2024-01-02 09:00:00,1.10678,1.10734,1.10656,1.10712,5678.92
2024-01-02 10:00:00,1.10712,1.10789,1.10689,1.10756,6234.56
2024-01-02 11:00:00,1.10756,1.10823,1.10734,1.10801,6789.23
2024-01-02 12:00:00,1.10801,1.10867,1.10778,1.10845,7123.45
2024-01-02 13:00:00,1.10845,1.10912,1.10823,1.10889,7456.78
2024-01-02 14:00:00,1.10889,1.10956,1.10867,1.10934,7892.34
2024-01-02 15:00:00,1.10934,1.10989,1.10901,1.10967,8234.56
2024-01-02 16:00:00,1.10967,1.11023,1.10934,1.10989,7654.32
2024-01-02 17:00:00,1.10989,1.11045,1.10956,1.11012,6987.65
2024-01-02 18:00:00,1.11012,1.11067,1.10978,1.11034,5432.18
2024-01-02 19:00:00,1.11034,1.11089,1.10998,1.11056,4876.54
2024-01-02 20:00:00,1.11056,1.11112,1.11023,1.11078,4321.87
2024-01-02 21:00:00,1.11078,1.11134,1.11045,1.11089,3765.43
2024-01-02 22:00:00,1.11089,1.11145,1.11056,1.11112,3234.56
2024-01-02 23:00:00,1.11112,1.11156,1.11078,1.11123,2876.78
2024-01-03 00:00:00,1.11123,1.11167,1.11089,1.11134,2543.21
2024-01-03 01:00:00,1.11134,1.11178,1.11101,1.11145,2321.45
2024-01-03 02:00:00,1.11145,1.11189,1.11112,1.11156,2156.78
2024-01-03 03:00:00,1.11156,1.11198,1.11123,1.11167,1987.34
2024-01-03 04:00:00,1.11167,1.11209,1.11134,1.11178,1876.54
2024-01-03 05:00:00,1.11178,1.11218,1.11145,1.11189,1765.32
2024-01-03 06:00:00,1.11189,1.11234,1.11156,1.11212,2123.45
2024-01-03 07:00:00,1.11212,1.11267,1.11189,1.11245,2567.89
2024-01-03 08:00:00,1.11245,1.11312,1.11223,1.11289,3456.78
2024-01-03 09:00:00,1.11289,1.11367,1.11267,1.11345,4567.89
2024-01-03 10:00:00,1.11345,1.11423,1.11312,1.11389,5234.56
2024-01-03 11:00:00,1.11389,1.11456,1.11356,1.11423,5678.92
2024-01-03 12:00:00,1.11423,1.11489,1.11389,1.11456,6123.45
2024-01-03 13:00:00,1.11456,1.11534,1.11423,1.11512,6543.21
2024-01-03 14:00:00,1.11512,1.11589,1.11478,1.11567,6987.65
2024-01-03 15:00:00,1.11567,1.11634,1.11534,1.11612,7234.56
2024-01-03 16:00:00,1.11612,1.11678,1.11578,1.11645,6876.54
2024-01-03 17:00:00,1.11645,1.11712,1.11612,1.11689,6432.18
2024-01-03 18:00:00,1.11689,1.11745,1.11656,1.11723,5678.92
2024-01-03 19:00:00,1.11723,1.11778,1.11689,1.11756,5123.45
2024-01-03 20:00:00,1.11756,1.11812,1.11723,1.11789,4567.89
2024-01-03 21:00:00,1.11789,1.11834,1.11756,1.11812,4123.45
2024-01-03 22:00:00,1.11812,1.11856,1.11778,1.11834,3678.92
2024-01-03 23:00:00,1.11834,1.11878,1.11801,1.11856,3234.56
2024-01-04 00:00:00,1.11856,1.11889,1.11823,1.11867,2876.78
2024-01-04 01:00:00,1.11867,1.11901,1.11834,1.11878,2654.32
2024-01-04 02:00:00,1.11878,1.11912,1.11845,1.11889,2432.56
2024-01-04 03:00:00,1.11889,1.11923,1.11856,1.11901,2234.78
2024-01-04 04:00:00,1.11901,1.11934,1.11867,1.11912,2087.65
2024-01-04 05:00:00,1.11912,1.11945,1.11878,1.11923,1954.32
2024-01-04 06:00:00,1.11923,1.11967,1.11889,1.11945,2234.56
2024-01-04 07:00:00,1.11945,1.11998,1.11912,1.11978,2678.92
2024-01-04 08:00:00,1.11978,1.12045,1.11945,1.12023,3456.78
2024-01-04 09:00:00,1.12023,1.12112,1.11989,1.12089,4567.89
2024-01-04 10:00:00,1.12089,1.12156,1.12056,1.12134,5234.56
2024-01-04 11:00:00,1.12134,1.12201,1.12101,1.12178,5678.92
2024-01-04 12:00:00,1.12178,1.12245,1.12145,1.12212,6123.45
2024-01-04 13:00:00,1.12212,1.12289,1.12178,1.12256,6543.21
2024-01-04 14:00:00,1.12256,1.12334,1.12223,1.12301,6987.65
2024-01-04 15:00:00,1.12301,1.12378,1.12267,1.12345,7234.56
2024-01-04 16:00:00,1.12345,1.12412,1.12312,1.12378,6876.54
2024-01-04 17:00:00,1.12378,1.12445,1.12345,1.12412,6432.18
2024-01-04 18:00:00,1.12412,1.12478,1.12378,1.12445,5678.92
2024-01-04 19:00:00,1.12445,1.12501,1.12412,1.12478,5123.45
2024-01-04 20:00:00,1.12478,1.12523,1.12445,1.12501,4567.89
2024-01-04 21:00:00,1.12501,1.12545,1.12467,1.12523,4123.45
2024-01-04 22:00:00,1.12523,1.12567,1.12489,1.12545,3678.92
2024-01-04 23:00:00,1.12545,1.12589,1.12512,1.12567,3234.56
2024-01-05 00:00:00,1.12567,1.12612,1.12534,1.12589,2876.78
2024-01-05 01:00:00,1.12589,1.12623,1.12556,1.12601,2654.32
2024-01-05 02:00:00,1.12601,1.12634,1.12567,1.12612,2432.56
2024-01-05 03:00:00,1.12612,1.12645,1.12578,1.12623,2234.78
2024-01-05 04:00:00,1.12623,1.12656,1.12589,1.12634,2087.65
2024-01-05 05:00:00,1.12634,1.12645,1.12578,1.12601,1954.32
2024-01-05 06:00:00,1.12601,1.12623,1.12545,1.12567,2234.56
2024-01-05 07:00:00,1.12567,1.12589,1.12512,1.12534,2678.92
2024-01-05 08:00:00,1.12534,1.12567,1.12478,1.12512,3456.78
2024-01-05 09:00:00,1.12512,1.12545,1.12445,1.12478,4567.89
2024-01-05 10:00:00,1.12478,1.12512,1.12412,1.12445,5234.56
2024-01-05 11:00:00,1.12445,1.12478,1.12378,1.12412,5678.92
2024-01-05 12:00:00,1.12412,1.12445,1.12345,1.12378,6123.45
2024-01-05 13:00:00,1.12378,1.12412,1.12312,1.12345,6543.21
2024-01-05 14:00:00,1.12345,1.12378,1.12278,1.12312,6987.65
2024-01-05 15:00:00,1.12312,1.12356,1.12245,1.12289,7234.56
2024-01-05 16:00:00,1.12289,1.12334,1.12223,1.12267,6876.54
2024-01-05 17:00:00,1.12267,1.12312,1.12201,1.12245,6432.18
2024-01-05 18:00:00,1.12245,1.12289,1.12178,1.12223,5678.92
2024-01-05 19:00:00,1.12223,1.12267,1.12156,1.12201,5123.45
2024-01-05 20:00:00,1.12201,1.12245,1.12134,1.12178,4567.89
2024-01-05 21:00:00,1.12178,1.12223,1.12112,1.12156,4123.45
2024-01-05 22:00:00,1.12156,1.12201,1.12089,1.12134,3678.92
2024-01-05 23:00:00,1.12134,1.12178,1.12067,1.12112,3234.56
2024-01-08 00:00:00,1.12112,1.12156,1.12045,1.12089,2876.78
2024-01-08 01:00:00,1.12089,1.12134,1.12023,1.12067,2654.32
2024-01-08 02:00:00,1.12067,1.12112,1.12001,1.12045,2432.56
2024-01-08 03:00:00,1.12045,1.12089,1.11978,1.12023,2234.78
2024-01-08 04:00:00,1.12023,1.12067,1.11956,1.12001,2087.65
2024-01-08 05:00:00,1.12001,1.12045,1.11934,1.11978,1954.32
2024-01-08 06:00:00,1.11978,1.12034,1.11923,1.12012,2234.56
2024-01-08 07:00:00,1.12012,1.12078,1.11967,1.12056,2678.92
2024-01-08 08:00:00,1.12056,1.12145,1.12012,1.12123,3456.78
2024-01-08 09:00:00,1.12123,1.12212,1.12089,1.12189,4567.89
2024-01-08 10:00:00,1.12189,1.12278,1.12156,1.12256,5234.56
2024-01-08 11:00:00,1.12256,1.12334,1.12212,1.12312,5678.92
2024-01-08 12:00:00,1.12312,1.12389,1.12267,1.12367,6123.45
2024-01-08 13:00:00,1.12367,1.12445,1.12323,1.12423,6543.21
2024-01-08 14:00:00,1.12423,1.12501,1.12378,1.12478,6987.65
2024-01-08 15:00:00,1.12478,1.12556,1.12434,1.12534,7234.56
2024-01-08 16:00:00,1.12534,1.12601,1.12489,1.12578,6876.54
2024-01-08 17:00:00,1.12578,1.12645,1.12534,1.12623,6432.18
2024-01-08 18:00:00,1.12623,1.12689,1.12578,1.12667,5678.92
2024-01-08 19:00:00,1.12667,1.12734,1.12623,1.12712,5123.45
2024-01-08 20:00:00,1.12712,1.12778,1.12667,1.12756,4567.89
2024-01-08 21:00:00,1.12756,1.12812,1.12712,1.12789,4123.45
