,Open,High,Low,Close,Volume
2017.07.26 22:00,1.17041,1.17394,1.17041,1.17216,9869,0
2017.07.26 23:00,1.17214,1.17289,1.17200,1.17262,1834,0
2017.07.27 00:00,1.17262,1.17472,1.17262,1.17463,2593,0
2017.07.27 01:00,1.17463,1.17471,1.17323,1.17340,2622,0
2017.07.27 02:00,1.17342,1.17342,1.17264,1.17312,1987,0
2017.07.27 03:00,1.17313,1.17391,1.17248,1.17291,4402,0
2017.07.27 04:00,1.17291,1.17421,1.17210,1.17397,3793,0
2017.07.27 05:00,1.17397,1.17459,1.17368,1.17458,3826,0
2017.07.27 06:00,1.17457,1.17765,1.17418,1.17558,4318,0
2017.07.27 07:00,1.17560,1.17621,1.17453,1.17487,3651,0
2017.07.27 08:00,1.17486,1.17511,1.17345,1.17388,3736,0
2017.07.27 09:00,1.17389,1.17475,1.17268,1.17288,7010,0
2017.07.27 10:00,1.17290,1.17334,1.17144,1.17232,8318,0
2017.07.27 11:00,1.17233,1.17304,1.17118,1.17280,6799,0
2017.07.27 12:00,1.17280,1.17332,1.17171,1.17198,5722,0
2017.07.27 13:00,1.17196,1.17209,1.17027,1.17044,6175,0
2017.07.27 14:00,1.17047,1.17129,1.16870,1.16929,6130,0
2017.07.27 15:00,1.16932,1.17051,1.16893,1.16965,7453,0
2017.07.27 16:00,1.16964,1.17046,1.16899,1.17045,7398,0
2017.07.27 17:00,1.17045,1.17058,1.16622,1.16653,9200,0
2017.07.27 18:00,1.16652,1.16783,1.16538,1.16547,7419,0
2017.07.27 19:00,1.16548,1.16685,1.16497,1.16640,5075,0
2017.07.27 20:00,1.16640,1.16792,1.16592,1.16744,6429,0
2017.07.27 21:00,1.16741,1.16884,1.16660,1.16829,6635,0
2017.07.27 22:00,1.16828,1.16835,1.16717,1.16756,3899,0
2017.07.27 23:00,1.16757,1.16789,1.16703,1.16757,1691,0
2017.07.28 00:00,1.16757,1.16781,1.16722,1.16746,3164,0
2017.07.28 01:00,1.16747,1.16881,1.16747,1.16838,3019,0
2017.07.28 02:00,1.16838,1.16910,1.16808,1.16895,1594,0
2017.07.28 03:00,1.16897,1.16921,1.16709,1.16758,4046,0
2017.07.28 04:00,1.16759,1.16841,1.16710,1.16840,4214,0
2017.07.28 05:00,1.16836,1.16926,1.16800,1.16925,2677,0
2017.07.28 06:00,1.16925,1.16936,1.16829,1.16831,2430,0
2017.07.28 07:00,1.16831,1.16880,1.16815,1.16849,2064,0
2017.07.28 08:00,1.16849,1.16957,1.16849,1.16937,3162,0
2017.07.28 09:00,1.16937,1.17008,1.16871,1.16968,5730,0
2017.07.28 10:00,1.16988,1.17150,1.16911,1.16962,7354,0
2017.07.28 11:00,1.16964,1.17072,1.16962,1.17054,6560,0
2017.07.28 12:00,1.17053,1.17175,1.17050,1.17157,6275,0
2017.07.28 13:00,1.17156,1.17215,1.17041,1.17065,5372,0
2017.07.28 14:00,1.17064,1.17233,1.17042,1.17183,5396,0
2017.07.28 15:00,1.17184,1.17527,1.17145,1.17159,10558,0
2017.07.28 16:00,1.17159,1.17324,1.17147,1.17278,8720,0
2017.07.28 17:00,1.17278,1.17535,1.17269,1.17470,9595,0
2017.07.28 18:00,1.17470,1.17638,1.17410,1.17548,8893,0
2017.07.28 19:00,1.17548,1.17560,1.17377,1.17401,3626,0
2017.07.28 20:00,1.17402,1.17501,1.17402,1.17466,2883,0
2017.07.28 21:00,1.17465,1.17620,1.17430,1.17613,2775,0
2017.07.28 22:00,1.17610,1.17619,1.17526,1.17583,3260,0
2017.07.28 23:00,1.17583,1.17592,1.17458,1.17494,2041,0
2017.07.31 00:00,1.17518,1.17553,1.17474,1.17534,1011,0
2017.07.31 01:00,1.17533,1.17618,1.17490,1.17595,8412,0
2017.07.31 02:00,1.17594,1.17597,1.17451,1.17467,2406,0
2017.07.31 03:00,1.17465,1.17485,1.17341,1.17424,4515,0
2017.07.31 04:00,1.17426,1.17457,1.17373,1.17391,3107,0
2017.07.31 05:00,1.17391,1.17435,1.17349,1.17349,2186,0
2017.07.31 06:00,1.17350,1.17371,1.17311,1.17320,2053,0
2017.07.31 07:00,1.17321,1.17366,1.17309,1.17362,1363,0
2017.07.31 08:00,1.17360,1.17472,1.17313,1.17453,2020,0
2017.07.31 09:00,1.17454,1.17465,1.17243,1.17371,5902,0
2017.07.31 10:00,1.17371,1.17380,1.17229,1.17245,6006,0
2017.07.31 11:00,1.17246,1.17340,1.17232,1.17319,4273,0
2017.07.31 12:00,1.17321,1.17441,1.17274,1.17337,5701,0
2017.07.31 13:00,1.17335,1.17373,1.17295,1.17311,3723,0
2017.07.31 14:00,1.17310,1.17347,1.17252,1.17273,4043,0
2017.07.31 15:00,1.17271,1.17349,1.17230,1.17334,4826,0
2017.07.31 16:00,1.17333,1.17514,1.17313,1.17483,6110,0
2017.07.31 17:00,1.17489,1.17903,1.17458,1.17890,9357,0
2017.07.31 18:00,1.17893,1.18299,1.17835,1.18256,8132,0
2017.07.31 19:00,1.18253,1.18318,1.18052,1.18105,6034,0
2017.07.31 20:00,1.18104,1.18271,1.18078,1.18138,4493,0
2017.07.31 21:00,1.18139,1.18352,1.18128,1.18301,4036,0
2017.07.31 22:00,1.18300,1.18446,1.18285,1.18361,4113,0
2017.07.31 23:00,1.18363,1.18437,1.18306,1.18397,2324,0
2017.08.01 00:00,1.18397,1.18415,1.18350,1.18354,6018,0
2017.08.01 01:00,1.18351,1.18363,1.18288,1.18305,2700,0
2017.08.01 02:00,1.18304,1.18321,1.18201,1.18205,2155,0
2017.08.01 03:00,1.18205,1.18297,1.18194,1.18267,3536,0
2017.08.01 04:00,1.18267,1.18304,1.18193,1.18293,3236,0
2017.08.01 05:00,1.18293,1.18337,1.18261,1.18275,3052,0
2017.08.01 06:00,1.18275,1.18276,1.18226,1.18259,1722,0
2017.08.01 07:00,1.18259,1.18335,1.18242,1.18301,3157,0
2017.08.01 08:00,1.18301,1.18329,1.18193,1.18199,2446,0
2017.08.01 09:00,1.18199,1.18305,1.18110,1.18204,4914,0
2017.08.01 10:00,1.18199,1.18224,1.18108,1.18188,5299,0
2017.08.01 11:00,1.18189,1.18330,1.18148,1.18213,6049,0
2017.08.01 12:00,1.18212,1.18237,1.18069,1.18141,5683,0
2017.08.01 13:00,1.18141,1.18175,1.18044,1.18114,4387,0
2017.08.01 14:00,1.18116,1.18224,1.18088,1.18100,4627,0
2017.08.01 15:00,1.18105,1.18191,1.18061,1.18172,7041,0
2017.08.01 16:00,1.18171,1.18285,1.18067,1.18235,6958,0
2017.08.01 17:00,1.18233,1.18389,1.17849,1.18094,12209,0
2017.08.01 18:00,1.18095,1.18137,1.17913,1.17981,7185,0
2017.08.01 19:00,1.17981,1.18053,1.17963,1.18043,2960,0
2017.08.01 20:00,1.18044,1.18368,1.18041,1.18168,4988,0
2017.08.01 21:00,1.18169,1.18195,1.17983,1.18029,3650,0
2017.08.01 22:00,1.18028,1.18046,1.17986,1.17998,2819,0
2017.08.01 23:00,1.17999,1.18028,1.17986,1.18021,925,0
2017.08.02 00:00,1.18006,1.18073,1.17972,1.18053,2639,0
2017.08.02 01:00,1.18052,1.18126,1.18042,1.18051,2373,0
2017.08.02 02:00,1.18051,1.18124,1.18023,1.18112,2113,0
2017.08.02 03:00,1.18110,1.18174,1.18062,1.18130,2791,0
2017.08.02 04:00,1.18131,1.18138,1.17932,1.17998,2952,0
2017.08.02 05:00,1.17999,1.18090,1.17971,1.18078,2603,0
2017.08.02 06:00,1.18078,1.18167,1.18033,1.18108,2551,0
2017.08.02 07:00,1.18107,1.18282,1.18101,1.18246,3988,0
2017.08.02 08:00,1.18246,1.18300,1.18206,1.18231,2069,0
2017.08.02 09:00,1.18230,1.18437,1.18169,1.18391,4397,0
2017.08.02 10:00,1.18392,1.18405,1.18243,1.18331,5259,0
2017.08.02 11:00,1.18331,1.18680,1.18300,1.18542,7814,0
2017.08.02 12:00,1.18541,1.18588,1.18372,1.18373,6126,0
2017.08.02 13:00,1.18374,1.18379,1.18298,1.18323,4029,0
2017.08.02 14:00,1.18325,1.18373,1.18215,1.18268,4508,0
2017.08.02 15:00,1.18273,1.18382,1.18181,1.18244,8115,0
2017.08.02 16:00,1.18243,1.18338,1.18227,1.18329,6475,0
2017.08.02 17:00,1.18332,1.18578,1.18252,1.18563,9567,0
2017.08.02 18:00,1.18564,1.18713,1.18546,1.18603,6633,0
2017.08.02 19:00,1.18605,1.18708,1.18598,1.18675,3831,0
2017.08.02 20:00,1.18680,1.19100,1.18673,1.18827,6179,0
2017.08.02 21:00,1.18827,1.18830,1.18562,1.18592,4213,0
2017.08.02 22:00,1.18592,1.18607,1.18497,1.18536,3166,0
2017.08.02 23:00,1.18537,1.18571,1.18526,1.18545,1368,0
2017.08.03 00:00,1.18548,1.18599,1.18530,1.18543,2085,0
2017.08.03 01:00,1.18541,1.18578,1.18497,1.18511,3047,0
2017.08.03 02:00,1.18510,1.18529,1.18455,1.18505,2097,0
2017.08.03 03:00,1.18505,1.18519,1.18354,1.18356,2837,0
2017.08.03 04:00,1.18355,1.18470,1.18354,1.18364,2878,0
2017.08.03 05:00,1.18363,1.18437,1.18339,1.18432,2653,0
2017.08.03 06:00,1.18431,1.18485,1.18410,1.18411,1985,0
2017.08.03 07:00,1.18411,1.18476,1.18411,1.18461,1527,0
2017.08.03 08:00,1.18461,1.18566,1.18436,1.18441,2335,0
2017.08.03 09:00,1.18442,1.18531,1.18374,1.18510,4664,0
2017.08.03 10:00,1.18509,1.18566,1.18368,1.18409,5197,0
2017.08.03 11:00,1.18408,1.18430,1.18302,1.18429,5384,0
2017.08.03 12:00,1.18429,1.18502,1.18410,1.18448,4636,0
2017.08.03 13:00,1.18448,1.18472,1.18333,1.18373,3486,0
2017.08.03 14:00,1.18372,1.18581,1.18336,1.18530,9203,0
2017.08.03 15:00,1.18540,1.18736,1.18475,1.18590,7702,0
2017.08.03 16:00,1.18590,1.18591,1.18426,1.18495,5750,0
2017.08.03 17:00,1.18532,1.18926,1.18452,1.18785,10888,0
2017.08.03 18:00,1.18786,1.18886,1.18731,1.18788,6856,0
2017.08.03 19:00,1.18789,1.18839,1.18671,1.18687,4152,0
2017.08.03 20:00,1.18688,1.18717,1.18602,1.18713,3301,0
2017.08.03 21:00,1.18713,1.18773,1.18636,1.18670,3119,0
2017.08.03 22:00,1.18671,1.18884,1.18618,1.18749,5555,0
2017.08.03 23:00,1.18749,1.18808,1.18701,1.18706,1221,0
2017.08.04 00:00,1.18706,1.18735,1.18691,1.18701,2128,0
2017.08.04 01:00,1.18702,1.18801,1.18700,1.18769,1703,0
2017.08.04 02:00,1.18768,1.18851,1.18742,1.18819,1645,0
2017.08.04 03:00,1.18818,1.18852,1.18756,1.18763,2539,0
2017.08.04 04:00,1.18764,1.18790,1.18707,1.18768,2774,0
2017.08.04 05:00,1.18767,1.18795,1.18715,1.18744,1933,0
2017.08.04 06:00,1.18744,1.18790,1.18739,1.18790,1672,0
2017.08.04 07:00,1.18790,1.18884,1.18770,1.18793,2318,0
2017.08.04 08:00,1.18793,1.18868,1.18773,1.18838,2026,0
2017.08.04 09:00,1.18842,1.18850,1.18735,1.18848,3305,0
2017.08.04 10:00,1.18846,1.18889,1.18758,1.18818,4946,0
2017.08.04 11:00,1.18819,1.18877,1.18803,1.18819,3220,0
2017.08.04 12:00,1.18819,1.18847,1.18772,1.18819,3210,0
2017.08.04 13:00,1.18819,1.18825,1.18698,1.18700,3105,0
2017.08.04 14:00,1.18699,1.18766,1.18626,1.18766,4188,0
2017.08.04 15:00,1.18764,1.18765,1.18248,1.18295,12535,0
2017.08.04 16:00,1.18295,1.18455,1.17910,1.17931,10547,0
2017.08.04 17:00,1.17929,1.17931,1.17278,1.17495,13326,0
2017.08.04 18:00,1.17497,1.17644,1.17448,1.17531,6841,0
2017.08.04 19:00,1.17531,1.17583,1.17360,1.17538,4502,0
2017.08.04 20:00,1.17537,1.17636,1.17496,1.17540,3617,0
2017.08.04 21:00,1.17545,1.17669,1.17512,1.17637,3365,0
2017.08.04 22:00,1.17639,1.17812,1.17639,1.17801,3592,0
2017.08.04 23:00,1.17800,1.17826,1.17688,1.17719,2233,0
